Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
,382,,,NQ,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,285
,383,,L16,QF,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,286
,384,QF,L16,QF,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,287
,385,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,288
,386,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,289
,387,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,290
,388,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,291
,389,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,292
,390,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,293
,391,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,294
,392,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,295
,393,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,296
,394,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,297
,395,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,298
,396,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,299
,397,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,300
,398,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,301
,399,,NQ,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,302
,400,NQ,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,303
,401,,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,304
,402,,L16,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,305
,403,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,306
,404,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,307
,405,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,308
,406,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,309
,407,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,310
,408,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,311
,409,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,312
,410,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,313
,411,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,314
,412,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,315
,413,NQ,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,316
,414,SF,,,,,,,,,,,,,,,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.9,0,22,0.0,0.0,97.0,97.0,317
,214,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,318
,215,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,319
,216,,,NQ,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,320
,217,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,321
,219,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,322
,220,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,323
,222,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,324
,223,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,325
,224,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,326
,225,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,327
,226,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,328
,227,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.850000000000001,1,15,0.0,0.0,97.0,97.0,329
,229,NQ,,,QF,L16,,,L16,,QF,L16,,QF,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.8,1,16,0.0,0.0,97.0,97.0,330
,230,,,,,NQ,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.8,1,16,0.0,0.0,97.0,97.0,331
,102,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,P,P,P,P,0.0,10.7,2,5,0.0,0.0,97.0,97.0,332
,127,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,P,P,P,P,P,P,P,0.0,10.7,3,7,0.0,0.0,97.0,97.0,333
,200,,,,,,,,L16,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.600000000000001,1,14,0.0,0.0,97.0,97.0,334
,201,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.600000000000001,1,14,0.0,0.0,97.0,97.0,335
,146,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,336
,151,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,337
,157,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,338
,158,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,P,0.0,10.55,2,8,0.0,0.0,97.0,97.0,339
,196,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.5,1,13,0.0,0.0,97.0,97.0,340
,163,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,P,P,P,P,P,P,P,P,0.0,10.399999999999999,2,9,0.0,0.0,97.0,97.0,341
,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,NQ,P,P,P,P,0.0,10.3,3,4,0.0,0.0,97.0,97.0,342
,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,NQ,P,P,0.0,10.2,3,2,0.0,0.0,97.0,97.0,343
,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,P,P,P,P,P,P,0.0,10.149999999999999,3,7,0.0,0.0,97.0,97.0,344
,188,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.1,1,12,0.0,0.0,97.0,97.0,345
,193,,,,,,,,,,,,NQ,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,10.1,1,12,0.0,0.0,97.0,97.0,346
,133,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,P,0.0,10.0,2,7,0.0,0.0,97.0,97.0,347
,177,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,348
,178,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,349
,179,NQ,L16,,NQ,,,QF,,,NQ,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,350
,180,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,351
,181,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,352
,185,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,9.85,1,11,0.0,0.0,97.0,97.0,353
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,P,NQ,P,0.0,9.649999999999999,4,1,0.0,0.0,97.0,97.0,354
,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,P,0.0,9.45,2,6,0.0,0.0,97.0,97.0,355
,167,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,0.0,9.3,1,10,0.0,0.0,97.0,97.0,356
,168,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,0.0,9.3,1,10,0.0,0.0,97.0,97.0,357
,169,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,0.0,9.3,1,10,0.0,0.0,97.0,97.0,358
,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,0.0,9.2,2,5,0.0,0.0,97.0,97.0,359
,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,NQ,P,P,0.0,8.8,3,2,0.0,0.0,97.0,97.0,360
,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,0.0,8.75,1,9,0.0,0.0,97.0,97.0,361
,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,0.0,8.75,1,9,0.0,0.0,97.0,97.0,362
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,0.0,8.649999999999999,2,1,0.0,0.0,97.0,97.0,363
,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,364
,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,365
,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,366
,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,367
,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,368
,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,369
,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,0.0,8.35,1,8,0.0,0.0,97.0,97.0,370
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,NQ,P,0.0,7.949999999999999,2,1,0.0,0.0,97.0,97.0,371
,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,P,P,P,P,0.0,7.8,2,5,0.0,0.0,97.0,97.0,372
,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,P,P,P,P,0.0,7.8,2,5,0.0,0.0,97.0,97.0,373
,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,P,P,P,0.0,7.8,2,4,0.0,0.0,97.0,97.0,374
,129,,NQ,,,L16,,,L16,,,NQ,NQ,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,375
,130,,,,,,NQ,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,376
,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,377
,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,378
,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,379
,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,0.0,7.65,1,7,0.0,0.0,97.0,97.0,380
,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,381
,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,382
,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,383
,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,0.0,7.3999999999999995,2,2,0.0,0.0,97.0,97.0,384
,115,,,,,,,,,,,SF,,,QF,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,0.0,6.949999999999999,1,6,0.0,0.0,97.0,97.0,385
,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,0.0,6.949999999999999,1,6,0.0,0.0,97.0,97.0,386
,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,0.0,6.949999999999999,1,6,0.0,0.0,97.0,97.0,387
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,NQ,P,0.0,6.7,3,1,0.0,0.0,97.0,97.0,388
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,0.0,6.55,2,1,0.0,0.0,97.0,97.0,389
,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,390
,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,391
,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,392
,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,0.0,6.4,1,5,0.0,0.0,97.0,97.0,393
,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,394
,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,395
,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,396
,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,0.0,5.55,1,4,0.0,0.0,97.0,97.0,397
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,0.0,5.0,2,1,0.0,0.0,97.0,97.0,398
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,0.0,5.0,2,1,0.0,0.0,97.0,97.0,399
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,NQ,P,0.0,5.0,2,1,0.0,0.0,97.0,97.0,400
,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,401
,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,402
,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,403
,68,,,,,,NQ,,NQ,,NQ,,,NQ,L16,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,404
,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,405
,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,406
,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,407
,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,408
,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,0.0,4.0,1,2,0.0,0.0,97.0,97.0,409
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,410
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,411
,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,412
,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,413
,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,414
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,0.0,3.0,1,1,0.0,0.0,97.0,97.0,415
,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,0.0,2.0,1,0,0.0,0.0,97.0,97.0,416
