Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,L16,P,P,P,P,1.7,12.0,3,4,14.166666666666666,0.014166666666666666,60.0,64.0,64
,175,,,,,,,,L16,,,NQ,NQ,,,,,NQ,P,P,P,P,P,P,L16,P,P,L16,P,P,P,P,P,P,P,P,P,P,1.9000000000000001,13.75,2,10,13.818181818181818,0.013818181818181818,61.0,65.0,65
,98,,,,,NQ,,,,,,,,,,,,,NQ,P,L16,P,P,P,P,P,P,P,P,P,P,P,P,L16,P,P,P,P,1.9,13.75,2,4,13.818181818181818,0.013818181818181818,61.0,65.0,66
,144,NQ,L16,,NQ,,NQ,QF,L16,,,NQ,,NQ,,,,L16,P,P,P,P,P,L16,P,P,NQ,P,P,P,L16,P,P,P,P,P,P,P,1.9,14.3,3,7,13.286713286713287,0.013286713286713287,63.0,67.0,67
,228,,,,,,,,,,,,,QF,,,,,,QF,QF,NQ,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,1.6099999999999999,13.450000000000001,4,15,11.970260223048324,0.011970260223048325,64.0,68.0,68
,210,,,,,,,,,,,,,,QF,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,1.4,12.100000000000001,1,14,11.570247933884295,0.011570247933884295,65.0,69.0,69
,212,,,,,,,,,,,,,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,P,P,1.4,12.100000000000001,1,14,11.570247933884295,0.011570247933884295,65.0,69.0,70
,81,,,,,,,,,,,,,,,NQ,,L16,P,P,P,P,P,P,P,P,QF,P,P,P,P,P,P,P,NQ,P,P,P,1.6500000000000001,14.500000000000002,2,3,11.379310344827585,0.011379310344827585,67.0,71.0,71
,108,,,,,L16,,,L16,,,L16,,,,,,,,NQ,P,P,P,P,P,P,QF,P,P,P,P,P,NQ,P,P,P,P,P,1.6500000000000001,14.600000000000001,3,5,11.301369863013697,0.011301369863013697,68.0,72.0,72
,99,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,NQ,NQ,L16,P,P,P,P,1.7,15.4,5,4,11.03896103896104,0.01103896103896104,69.0,73.0,73
,107,,,,,L16,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,QF,P,P,NQ,P,P,NQ,P,P,P,P,P,1.6500000000000001,15.3,4,5,10.784313725490197,0.010784313725490198,70.0,74.0,74
,143,,SF,,,QF,,,,QF,NQ,L16,QF,,L16,,,,,,NQ,P,P,P,P,P,P,P,P,P,L16,P,P,P,P,P,P,P,1.4,13.0,2,7,10.769230769230768,0.010769230769230769,71.0,75.0,75
,195,,,,,,,,,NQ,,,,,L16,,,,,,,,,,,QF,P,P,P,P,P,P,P,P,P,P,P,P,1.2000000000000002,11.7,1,12,10.256410256410259,0.01025641025641026,72.0,76.0,76
,164,,,,,,,,,,,,,,,,,,,,,,,,,,,L16,NQ,P,P,P,P,P,P,P,P,P,1.1,10.95,2,9,10.045662100456623,0.010045662100456623,73.0,77.0,77
,171,,NQ,,,,,,NQ,,,NQ,,,,NQ,,NQ,NQ,NQ,L16,P,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,1.3,12.950000000000001,3,10,10.038610038610038,0.010038610038610039,74.0,78.0,78
,137,,,,,,,,,,,,,,,,,,,,,,,,,,,L16,P,P,NQ,P,P,P,P,P,P,P,1.1,11.1,2,7,9.909909909909912,0.009909909909909911,75.0,79.0,79
,105,,,,,,,,,,,,,NQ,,NQ,QF,P,P,QF,L16,P,QF,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,1.25,13.8,4,5,9.057971014492754,0.009057971014492754,76.0,80.0,80
,116,,,NQ,,,,,NQ,,,,,,L16,,,L16,NQ,NQ,P,P,NQ,QF,P,P,P,P,NQ,NQ,NQ,NQ,P,P,P,P,P,P,1.4,15.649999999999999,7,6,8.945686900958465,0.008945686900958465,77.0,81.0,81
,173,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,L16,P,P,P,P,P,P,P,P,P,P,1.1,12.450000000000001,2,10,8.835341365461847,0.008835341365461847,78.0,82.0,82
