Initial,Surname,13 N,13 K,13 L,14 N,14 K,14 L,15 N,15 K,15 L,16 N,16 K,16 L,17 N,17 K,17 L,18 N,18 K,18 L,19 N,19 K,19 L,20 N,20 K,21 K,21 L,22 N,22 K,22 L,23 N,23 K,23 L,24 N,24 K,24 L,25 N,25 K,25 L,RPA,POSS,Played,MissedLast,PC,PC2,RANK,RANK2,RANK3
T,STUBBS,,NQ,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,0.0,11.600000000000001,1,8,0.0,0.0,97.0,97.0,118
B,BANNERMAN,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,P,P,P,P,P,P,NQ,P,P,P,P,P,P,0.0,11.6,1,6,0.0,0.0,97.0,97.0,119
T,BYRNE,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.6,4,14,0.0,0.0,97.0,97.0,120
Y,BLEUNVEN,,,,,,,,,,,,,,,,,,,NQ,P,NQ,NQ,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.6,4,14,0.0,0.0,97.0,97.0,121
E,OSEN,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.55,2,13,0.0,0.0,97.0,97.0,122
J,KYNASTON,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.55,2,11,0.0,0.0,97.0,97.0,123
H,WEBSTER,,,,,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,NQ,P,P,P,P,P,NQ,P,P,0.0,11.549999999999999,3,2,0.0,0.0,97.0,97.0,124
A,SHAH,,,,,,,,,,,,,,,,,,,,,NQ,P,NQ,P,NQ,P,P,P,P,P,P,P,P,P,P,P,P,0.0,11.45,3,12,0.0,0.0,97.0,97.0,125
C,JONES,,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.4,2,11,0.0,0.0,97.0,97.0,126
N,SHEPARD,,,,,,,,,,,,,,,,,,,,,NQ,P,P,P,P,NQ,P,P,P,P,P,P,P,P,P,P,P,0.0,11.350000000000001,2,11,0.0,0.0,97.0,97.0,127
